PreSynaptic,PostSynaptic,Weight
Food,ADFL,2
Food,ADFR,2
Food,ASGL,2
Food,ASGR,2
Food,ASIL,2
Food,ASIR,2
Food,ASJL,2
Food,ASJR,2
Food,AWCL,2
Food,AWCR,2
Food,AWAL,2
Food,AWAR,2
ADFR,ADAR,1
ADFL,ADAL,1
ASGL,AIAL,9
ASGR,AIAR,10
ASGR,AIBR,2
ASGL,AIBL,3
ASGL,AINR,1
ADFL,AIZL,12
ADFL,AUAL,5
ASGL,AIZL,1
ADFR,AIAR,1
ASGR,AINL,1
ADFL,OLQVL,1
ADFR,AIYR,1
ADFL,RIAL,15
ASGR,AIYR,1
ASGR,AIZR,1
ADFL,RIGL,1
ASGL,ASKL,1
ADFR,AIZR,8
ADFR,ASHR,1
ADFL,RIR,2
ADFR,AUAR,4
ADFL,SMBVL,2
ADFR,AWBR,1
ADFR,PVPR,1
ADFR,RIAR,16
RIAR,CEPVR,1
ADFR,RIGR,3
RIAR,IL1R,1
ADFR,RIR,3
RIAR,RIAL,4
RIAL,CEPVL,1
ADFR,SMBDR,1
RIAL,RIAR,1
RIAR,RIVL,1
ADFR,SMBVR,2
RIAL,RIVL,2
RIAR,RMDDL,10
ADFR,URXR,1
RIAL,RIVR,4
RIAR,RMDDR,11
RIAR,RMDL,3
RIAL,RMDDL,12
RMDDL,MDR01,1
RIAR,RMDR,8
RIAL,RMDDR,7
RMDDR,MDL01,1
RIAL,RMDL,6
RMDDL,MDR02,1
RMDDR,MDL02,1
RIAR,RMDVL,12
RMDDL,MDR03,1
RIAR,RMDVR,10
RIAL,RMDR,6
RMDDR,MDL03,2
RMDDL,MDR04,1
RIAR,SAADR,1
RMDDR,MDL04,1
RIAL,RMDVL,9
RMDVL,AVER,1
RMDDL,MDR08,2
RIAL,RMDVR,11
RMDVL,MDR01,1
RIAR,SIADL,1
RMDDR,MDR04,1
RMDVR,AVEL,1
RMDDL,MVR01,1
RMDDR,MVR01,1
RMDVL,MVL04,1
RIAL,SIADL,2
RMDDR,MVR02,1
RMDDL,OLQVL,1
RIAR,SIADR,1
RMDVL,MVR01,1
RMDVR,AVER,1
RIAL,SMDDL,8
RIAR,SIAVL,1
RMDVR,MDL01,1
RMDVL,MVR02,1
RMDDR,OLQVR,1
RMDVR,MVL01,1
RIAL,SMDDR,10
RMDDL,RMDL,1
RMDVR,MVL02,1
RIAR,SMDDL,7
RIAL,SMDVL,6
RMDDR,RMDVL,12
RMDDL,RMDVL,1
RMDVL,MVR03,1
RIAR,SMDDR,7
RMDVR,MVL03,1
SMDDR,MDL04,1
RMDVL,MVR04,1
RMDDL,RMDVR,7
RIAL,SMDVR,11
SMDDR,MDL05,1
RMDVR,MVL04,1
RMDDR,RMDVR,1
RIAR,SMDVL,13
SMDVL,MVL03,1
RMDVL,MVR05,1
RMDVR,MVL05,1
RMDDL,SMDDL,1
SMDDL,MDL04,1
RIAR,SMDVR,7
SMDDR,MDL06,1
SMDVR,MVL02,1
RMDDR,SAADR,1
RMDVL,MVR06,1
SMDDR,MDL08,1
RMDDR,SMDDR,1
