Neuron 1,Neuron 2,Type,Nbr
ADAL,ADAR,EJ,1
ADAL,ADEL,Rp,1
ADAL,ADFL,Rp,1
ADAL,ADFL,EJ,1
ADAL,AIAL,Rp,1
ADAL,AIBL,S,1
ADAL,AIBR,Sp,2
ADAL,ASHL,Rp,1
ADAL,ASHL,EJ,1
ADAL,AVAR,Sp,2
ADAL,AVBL,Sp,4
ADAL,AVBR,Sp,5
ADAL,AVBR,S,2
ADAL,AVDL,Sp,1
ADAL,AVDR,EJ,2
ADAL,AVEL,Sp,1
ADAL,AVJR,Sp,5
ADAL,AWAL,R,1
ADAL,FLPR,Sp,1
ADAL,PVPL,Rp,1
ADAL,PVQL,EJ,1
ADAL,PVR,Rp,1
ADAL,RICL,Sp,1
ADAL,RICL,S,1
ADAL,RICR,Sp,1
ADAL,RIML,Sp,3
ADAL,RIPL,Sp,1
ADAL,RMGL,Rp,1
ADAL,SMDVR,S,2
ADAR,ADAL,EJ,1
ADAR,ADER,Rp,1
ADAR,ADFR,Rp,1
ADAR,ADFR,EJ,1
ADAR,AIAR,Rp,1
ADAR,AIBL,Sp,1
ADAR,AIBR,Sp,1
ADAR,ASHR,Rp,2
ADAR,ASHR,EJ,1
ADAR,AVAL,Sp,1
ADAR,AVBL,Sp,1
ADAR,AVBL,S,1
ADAR,AVBR,Sp,5
ADAR,AVDL,EJ,2
ADAR,AVEL,Sp,1
ADAR,AVJL,Sp,2
ADAR,AVJL,S,1
ADAR,PVQR,EJ,1
ADAR,RICL,Sp,1
ADAR,RICL,Rp,1
ADAR,RICR,Rp,1
ADAR,RIMR,Sp,5
ADAR,RIMR,Rp,1
ADAR,RIPR,Sp,1
ADAR,RIVR,Sp,1
ADAR,RMGR,Rp,1
ADAR,SMDVL,S,2
ADAR,URBR,Rp,1
ADEL,ADAL,Sp,1
ADEL,ADER,Sp,1
ADEL,ADER,Rp,2
ADEL,AINL,EJ,1
ADEL,ALA,Rp,1
ADEL,AVAL,Sp,2
ADEL,AVAR,Sp,3
ADEL,AVEL,Sp,1
ADEL,AVKR,EJ,1
ADEL,AVL,S,1
ADEL,BDUL,Sp,1
ADEL,BDUL,R,3
ADEL,CEPDL,S,1
ADEL,FLPL,Sp,1
ADEL,FLPL,S,1
ADEL,FLPL,Rp,2
ADEL,IL1L,Sp,1
ADEL,IL2L,Sp,1
ADEL,IL2L,S,1
ADEL,IL2L,Rp,2
ADEL,OLLL,Sp,1
ADEL,OLLL,S,1
ADEL,RIAL,Sp,1
ADEL,RIFL,Sp,1
ADEL,RIGL,Sp,3
