,Conntype,Connections,count
0,conn,1,1692
1,conn,2,550
2,conn,3,277
3,conn,4,164
4,conn,5,124
5,conn,6,80
6,conn,7,65
7,conn,8,26
8,conn,9,23
9,conn,10,28
10,conn,11,16
11,conn,12,12
12,conn,13,19
13,conn,14,5
14,conn,15,7
15,conn,16,8
16,conn,17,4
17,conn,18,1
18,conn,19,1
19,conn,20,1
20,conn,21,4
21,conn,23,3
22,conn,24,2
23,conn,25,1
24,conn,26,1
25,conn,27,1
26,conn,30,2
27,conn,35,1
28,conn,37,1
29,muscle,1,141
30,muscle,2,94
31,muscle,3,68
32,muscle,4,68
33,muscle,5,127
34,muscle,6,52
35,muscle,7,6
36,muscle,8,2
37,muscle,10,1
38,muscle,11,1
39,muscle,12,2
40,muscle,13,2
