,Transmitter,Connections,count
0,Acetylcholine,1,164
1,Acetylcholine,2,63
2,Acetylcholine,3,47
3,Acetylcholine,4,14
4,Acetylcholine,5,14
5,Acetylcholine,6,13
6,Acetylcholine,7,9
7,Acetylcholine,8,7
8,Acetylcholine,9,8
9,Acetylcholine,10,7
10,Acetylcholine,11,4
11,Acetylcholine,12,4
12,Acetylcholine,13,7
13,Acetylcholine,14,2
14,Acetylcholine,15,4
15,Acetylcholine,16,2
16,Acetylcholine,17,2
17,Acetylcholine,18,1
18,Acetylcholine,20,1
19,Acetylcholine,21,3
20,Acetylcholine,23,1
21,Acetylcholine,24,1
22,Acetylcholine,25,1
23,Acetylcholine,26,1
24,Acetylcholine,27,1
25,Acetylcholine,30,2
26,Acetylcholine,37,1
27,Acetylcholine_Tyramine,1,14
28,Acetylcholine_Tyramine,2,4
29,Acetylcholine_Tyramine,3,5
30,Acetylcholine_Tyramine,4,2
31,Acetylcholine_Tyramine,5,2
32,Dopamine,1,60
33,Dopamine,2,25
34,Dopamine,3,6
35,Dopamine,4,10
36,Dopamine,5,6
37,Dopamine,6,4
38,Dopamine,7,3
39,Dopamine,8,1
40,Dopamine,16,1
41,Dopamine,24,1
42,Dopamine,35,1
43,FMRFamide,1,103
44,FMRFamide,2,41
45,FMRFamide,3,25
46,FMRFamide,4,8
47,FMRFamide,5,11
48,FMRFamide,6,9
49,FMRFamide,7,9
50,FMRFamide,8,4
51,FMRFamide,10,4
52,FMRFamide,11,2
53,FMRFamide,12,2
54,FMRFamide,13,1
55,FMRFamide,14,1
56,FMRFamide,16,1
57,GABA,1,94
58,GABA,2,36
59,GABA,3,20
60,GABA,4,13
61,GABA,5,7
62,GABA,6,4
63,GABA,7,7
64,GABA,8,2
65,GABA,9,2
66,GABA,10,3
67,GABA,11,3
68,GABA,12,2
69,GABA,13,1
70,Generic_GJ,1,629
71,Generic_GJ,2,172
72,Generic_GJ,3,60
73,Generic_GJ,4,27
74,Generic_GJ,5,19
75,Generic_GJ,6,14
76,Generic_GJ,7,9
77,Generic_GJ,9,4
78,Generic_GJ,10,3
79,Generic_GJ,13,2
80,Generic_GJ,23,2
81,Glutamate,1,468
82,Glutamate,2,151
83,Glutamate,3,87
84,Glutamate,4,72
85,Glutamate,5,48
86,Glutamate,6,23
87,Glutamate,7,20
88,Glutamate,8,10
89,Glutamate,9,7
90,Glutamate,10,9
91,Glutamate,11,4
92,Glutamate,12,2
93,Glutamate,13,7
94,Glutamate,14,2
95,Glutamate,15,1
96,Glutamate,16,3
97,Glutamate,17,2
98,Glutamate,19,1
99,Glutamate,21,1
100,Octapamine,1,9
101,Octapamine,2,2
102,Octapamine,3,4
103,Octapamine,4,1
104,Octapamine,5,3
105,Octapamine,6,1
106,Serotonin,1,92
107,Serotonin,2,27
108,Serotonin,3,15
109,Serotonin,4,9
110,Serotonin,5,9
111,Serotonin,6,4
112,Serotonin,7,7
113,Serotonin,8,2
114,Serotonin,9,1
115,Serotonin,10,2
116,Serotonin,11,3
117,Serotonin,12,1
118,Serotonin,13,1
119,Serotonin,15,2
120,Serotonin,16,1
121,Serotonin_Acetylcholine,1,53
122,Serotonin_Acetylcholine,2,18
123,Serotonin_Acetylcholine,3,5
124,Serotonin_Acetylcholine,4,8
125,Serotonin_Acetylcholine,5,5
126,Serotonin_Acetylcholine,6,4
127,Serotonin_Acetylcholine,7,1
128,Serotonin_Acetylcholine,9,1
129,Serotonin_Acetylcholine,12,1
130,Serotonin_Glutamate,1,6
131,Serotonin_Glutamate,2,11
132,Serotonin_Glutamate,3,3
133,Serotonin_Glutamate,6,4
