,Transmitter,Conntype,count
0,,muscle,2
1,Acetylcholine,conn,384
2,Acetylcholine,muscle,377
3,Acetylcholine_Tyramine,conn,27
4,Acetylcholine_Tyramine,muscle,6
5,Dopamine,conn,118
6,Dopamine,muscle,1
7,FMRFamide,conn,221
8,FMRFamide,muscle,3
9,FRMFemide,muscle,5
10,GABA,conn,194
11,GABA,muscle,126
12,Generic_GJ,conn,941
13,Glutamate,conn,918
14,Glutamate,muscle,35
15,Octapamine,conn,20
16,Serotonin,conn,176
17,Serotonin,muscle,1
18,Serotonin_Acetylcholine,conn,96
19,Serotonin_Acetylcholine,muscle,8
20,Serotonin_Glutamate,conn,24
